city,inspections,with_action,avg_actions,share_with_action_%,top_action_category,top_category_share_%
azle,6,4,1.5,66.67,Misc fixes,33.33
bedford,81,72,4.46,88.89,Misc fixes,37.67
benbrook,18,14,2.11,77.78,Misc fixes,34.21
burleson,2,1,1.5,50.0,Gate/fence/latch,33.33
colleyville,16,14,6.44,87.5,Misc fixes,44.66
crowley,15,11,2.0,73.33,Misc fixes,66.67
dfw airport,2,2,5.5,100.0,Misc fixes,36.36
edgecliff village,2,1,0.5,50.0,Signage/permit posting,100.0
forest hill,9,9,2.33,100.0,Misc fixes,47.62
fort worth,7,4,2.14,57.14,Signage/permit posting,46.67
grapevine,92,58,2.24,63.04,Misc fixes,50.49
haltom city,26,20,3.31,76.92,Misc fixes,47.67
haslet,6,5,1.17,83.33,Misc fixes,57.14
hurst,49,37,2.63,75.51,Misc fixes,30.23
keller,35,23,1.8,65.71,Misc fixes,30.16
kennedale,2,2,3.5,100.0,Repair/replace equipment,42.86
lake worth,4,4,4.0,100.0,Misc fixes,50.0
pantego,4,1,1.0,25.0,Misc fixes,50.0
richland hills,8,8,2.62,100.0,Misc fixes,42.86
saginaw,17,13,2.18,76.47,Misc fixes,51.35
sansom park,3,2,7.33,66.67,Misc fixes,45.45
southlake,28,25,5.32,89.29,Misc fixes,44.3
westlake,15,15,5.2,100.0,Signage/permit posting,41.03
westworth village,9,9,1.78,100.0,Repair/replace equipment,37.5
white settlement,16,11,4.19,68.75,Misc fixes,43.28
